"","date","one_USD_equivalent_to_x_NPR","one_GBP_equivalent_to_x_NPR","one_AUD_equivalent_to_x_NPR","one_EUR_equivalent_to_x_NPR"
"1",2006-05-16,68.483268,129.299148,52.553598,88.001
"2",2006-05-17,69.503218,130.852541,52.793443,88.561
"3",2006-05-18,68.260058,129.26761,52.1652,87.721
"4",2006-05-19,68.661393,128.968663,51.971305,87.66
"5",2006-05-20,68.661393,128.968663,51.971305,87.66
"6",2006-05-21,68.661393,128.968663,51.971305,87.66
"7",2006-05-22,68.428382,129.036092,51.578114,87.951
"8",2006-05-23,69.223187,129.938326,52.008934,88.488
"9",2006-05-24,69.390168,129.893025,52.263561,88.639
"10",2006-05-25,69.19516,129.81693,52.657874,88.639
"11",2006-05-26,69.250334,128.823014,52.476355,88.218
"12",2006-05-27,69.250334,128.823014,52.476355,88.218
"13",2006-05-28,69.250334,128.823014,52.476355,88.218
"14",2006-05-29,68.931064,128.218818,52.3459,87.894
"15",2006-05-30,68.90789,129.700073,52.511551,88.65
"16",2006-05-31,69.201779,129.567568,52.108696,88.689
"17",2006-06-01,68.605105,128.082192,51.316635,87.89
"18",2006-06-02,68.31011,128.934833,51.283199,88.243
"19",2006-06-03,68.31011,128.934833,51.283199,88.243
"20",2006-06-04,68.31011,128.934833,51.283199,88.243
"21",2006-06-05,68.400124,128.018279,51.202855,88.243
"22",2006-06-06,69.666199,129.683508,51.65144,89.326
"23",2006-06-07,69.406343,128.904686,51.536454,88.854
"24",2006-06-08,69.965215,128.969688,51.960427,88.499
"25",2006-06-09,69.485009,127.94756,52.140567,87.836
"26",2006-06-10,69.485009,127.94756,52.140567,87.836
"27",2006-06-11,69.485009,127.94756,52.140567,87.836
"28",2006-06-12,69.934848,128.834895,51.944526,88.02
"29",2006-06-13,70.0271,128.463226,51.655691,87.856
"30",2006-06-14,69.605044,128.442851,51.366616,87.765
"31",2006-06-15,69.70807,129.005857,51.805621,88.111
"32",2006-06-16,70.156584,130.345284,51.863783,88.713
"33",2006-06-17,70.156584,130.345284,51.863783,88.713
"34",2006-06-18,70.156584,130.345284,51.863783,88.713
"35",2006-06-19,69.841017,128.619529,51.455344,87.86
"36",2006-06-20,69.683851,128.459511,51.412413,87.725
"37",2006-06-21,69.63589,128.540604,51.432738,88.166
"38",2006-06-22,69.880016,127.825581,51.264354,87.944
"39",2006-06-23,69.896199,127.513474,51.152925,87.538
"40",2006-06-24,69.896199,127.513474,51.152925,87.538
"41",2006-06-25,69.896199,127.513474,51.152925,87.538
"42",2006-06-26,70.18826,128.002318,51.428904,88.36
"43",2006-06-27,70.329382,128.074471,51.468413,88.397
"44",2006-06-28,70.43201,128.082331,51.338601,88.364
"45",2006-06-29,69.543588,127.176895,51.412726,88.07
"46",2006-06-30,69.965579,129.487476,51.958984,89.437
"47",2006-07-01,69.965579,129.487476,51.958984,89.437
"48",2006-07-02,69.965579,129.487476,51.958984,89.437
"49",2006-07-03,70.093743,129.196544,52.097196,89.727
"50",2006-07-04,70.1681,129.464801,52.192498,89.745
"51",2006-07-05,70.447621,129.355443,52.274343,89.708
"52",2006-07-06,70.147934,128.913982,52.330375,89.621
"53",2006-07-07,70.099813,129.982649,52.703289,89.896
"54",2006-07-08,70.099813,129.982649,52.703289,89.896
"55",2006-07-09,70.099813,129.982649,52.703289,89.896
"56",2006-07-10,70.473911,129.927673,52.701402,89.819
"57",2006-07-11,70.434714,129.966758,53.011849,89.924
"58",2006-07-12,70.722152,129.7849,53.231097,89.902
"59",2006-07-13,71.664173,132.236594,54.02363,90.992
"60",2006-07-14,71.867289,132.520053,54.214546,90.869
"61",2006-07-15,71.867289,132.520053,54.214546,90.869
"62",2006-07-16,71.867289,132.520053,54.214546,90.869
"63",2006-07-17,71.161527,129.533227,53.226577,89.08
"64",2006-07-18,71.49976,130.552067,53.420785,89.389
"65",2006-07-19,70.724661,130.367228,53.096174,89.106
"66",2006-07-20,71.301354,131.881406,53.52686,90.075
"67",2006-07-21,71.202581,132.459736,53.694581,90.47
"68",2006-07-22,71.202581,132.459736,53.694581,90.47
"69",2006-07-23,71.202581,132.459736,53.694581,90.47
"70",2006-07-24,71.299113,131.899179,53.739328,90.008
"71",2006-07-25,71.936586,132.482072,54.213079,90.525
"72",2006-07-26,70.892,131.492559,53.937997,90.125
"73",2006-07-27,71.383113,132.691069,54.477038,90.628
"74",2006-07-28,70.650145,131.801024,54.157749,90.086
"75",2006-07-29,70.650145,131.801024,54.157749,90.086
"76",2006-07-30,70.650145,131.801024,54.157749,90.086
"77",2006-07-31,70.993424,132.641509,54.385007,90.687
"78",2006-08-01,70.814353,132.861115,54.196167,90.784
"79",2006-08-02,71.186679,133.718062,54.420606,91.062
"80",2006-08-03,70.861005,133.74871,53.949795,90.695
