"","iso2c","country","year","birth","inf_mortality","life_exp","iso3c","region","capital","longitude","latitude","income","lending"
"1","1A","Arab World",1999,29.1436814075019,45.0756461136146,67.5176889474239,"ARB","Aggregates","","","","Aggregates","Aggregates"
"2","1A","Arab World",2000,28.709114781013,43.7929972288133,67.8005911153485,"ARB","Aggregates","","","","Aggregates","Aggregates"
"3","1A","Arab World",2011,27.4848673080568,30.9150123279743,70.5287748030398,"ARB","Aggregates","","","","Aggregates","Aggregates"
"4","1A","Arab World",2013,27.2114447684758,29.4126167202731,70.8822537209941,"ARB","Aggregates","","","","Aggregates","Aggregates"
"5","1A","Arab World",2001,28.347762234356,42.4703548765045,68.0725185170594,"ARB","Aggregates","","","","Aggregates","Aggregates"
"6","1A","Arab World",2002,28.0589190046731,41.2050467450281,68.3402459940492,"ARB","Aggregates","","","","Aggregates","Aggregates"
"7","1A","Arab World",2012,27.3892982930405,30.1257624851854,70.7038265981398,"ARB","Aggregates","","","","Aggregates","Aggregates"
"8","1A","Arab World",2004,27.6578315133665,38.7538051649664,68.8861877240216,"ARB","Aggregates","","","","Aggregates","Aggregates"
"9","1A","Arab World",2005,27.537710957561,37.5791151750785,69.1646828025353,"ARB","Aggregates","","","","Aggregates","Aggregates"
"10","1A","Arab World",2006,27.4772784922159,36.3882686488462,69.4394591943507,"ARB","Aggregates","","","","Aggregates","Aggregates"
"11","1A","Arab World",2003,27.8307787113471,39.9664051431517,68.6105053811856,"ARB","Aggregates","","","","Aggregates","Aggregates"
"12","1A","Arab World",1998,29.649744761881,46.3975398639214,67.2180914626095,"ARB","Aggregates","","","","Aggregates","Aggregates"
"13","1A","Arab World",2009,27.4959997120699,32.8730216828757,70.1575600376968,"ARB","Aggregates","","","","Aggregates","Aggregates"
"14","1A","Arab World",2010,27.5134353503218,31.8324142378254,70.3499162262039,"ARB","Aggregates","","","","Aggregates","Aggregates"
"15","1A","Arab World",2015,26.5769912639269,28.1868593569657,71.249571410287,"ARB","Aggregates","","","","Aggregates","Aggregates"
"16","1A","Arab World",2016,26.1348031918218,27.6272887802845,71.4364968537757,"ARB","Aggregates","","","","Aggregates","Aggregates"
"17","1A","Arab World",2017,25.6480149498627,27.0981790752555,71.6225263455783,"ARB","Aggregates","","","","Aggregates","Aggregates"
"18","1A","Arab World",2014,26.940780768132,28.7609097960839,71.0642924201872,"ARB","Aggregates","","","","Aggregates","Aggregates"
"19","1A","Arab World",2019,24.6506233244764,26.1365692486064,71.989709577632,"ARB","Aggregates","","","","Aggregates","Aggregates"
"20","1A","Arab World",2007,27.4607257557793,35.179338970317,69.7015546491534,"ARB","Aggregates","","","","Aggregates","Aggregates"
"21","1A","Arab World",2008,27.4629957002944,34.0136273265851,69.9421742706232,"ARB","Aggregates","","","","Aggregates","Aggregates"
"22","1A","Arab World",2018,25.1475419913116,26.6065290507935,71.8068251623605,"ARB","Aggregates","","","","Aggregates","Aggregates"
"23","1A","Arab World",2020,NA,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"24","1W","World",2005,20.5698694624291,44.3,68.920321826484,"WLD","Aggregates","","","","Aggregates","Aggregates"
"25","1W","World",2006,20.4217937812194,42.7,69.2623988206721,"WLD","Aggregates","","","","Aggregates","Aggregates"
"26","1W","World",2007,20.3413822780817,41.2,69.5917056076063,"WLD","Aggregates","","","","Aggregates","Aggregates"
"27","1W","World",2017,18.6288434209133,29.8,72.3857463821051,"WLD","Aggregates","","","","Aggregates","Aggregates"
"28","1W","World",2018,18.1695451380968,29,72.5683670442199,"WLD","Aggregates","","","","Aggregates","Aggregates"
"29","1W","World",2019,17.8965907643478,28.2,72.742170746649,"WLD","Aggregates","","","","Aggregates","Aggregates"
"30","1W","World",2016,18.9490115832313,30.7,72.1810662860212,"WLD","Aggregates","","","","Aggregates","Aggregates"
"31","1W","World",2008,20.2315908899242,39.7,69.8994928498209,"WLD","Aggregates","","","","Aggregates","Aggregates"
"32","1W","World",2009,20.0360067192196,38.3,70.2465194634811,"WLD","Aggregates","","","","Aggregates","Aggregates"
"33","1W","World",2010,19.8094768073878,37,70.5565853575019,"WLD","Aggregates","","","","Aggregates","Aggregates"
"34","1W","World",2020,NA,NA,NA,"WLD","Aggregates","","","","Aggregates","Aggregates"
"35","1W","World",2012,19.5140567877787,34.5,71.1714982465201,"WLD","Aggregates","","","","Aggregates","Aggregates"
"36","1W","World",2013,19.3038391060139,33.5,71.4625932865599,"WLD","Aggregates","","","","Aggregates","Aggregates"
"37","1W","World",2014,19.2172478233259,32.5,71.7418943880994,"WLD","Aggregates","","","","Aggregates","Aggregates"
"38","1W","World",2011,19.6289753043331,35.7,70.8834560428274,"WLD","Aggregates","","","","Aggregates","Aggregates"
"39","1W","World",2001,21.3291968283303,51.1,67.8217335154741,"WLD","Aggregates","","","","Aggregates","Aggregates"
"40","1W","World",2002,21.0711052838437,49.4,68.070373306876,"WLD","Aggregates","","","","Aggregates","Aggregates"
"41","1W","World",2003,20.859145466828,47.7,68.3262344267199,"WLD","Aggregates","","","","Aggregates","Aggregates"
"42","1W","World",2004,20.7030012107973,46,68.6526437357627,"WLD","Aggregates","","","","Aggregates","Aggregates"
"43","1W","World",2015,18.9655736023811,31.5,71.947383925138,"WLD","Aggregates","","","","Aggregates","Aggregates"
"44","1W","World",1998,22.3373042537166,56,67.0862440507973,"WLD","Aggregates","","","","Aggregates","Aggregates"
"45","1W","World",1999,21.9120738224056,54.4,67.2936219113416,"WLD","Aggregates","","","","Aggregates","Aggregates"
"46","1W","World",2000,21.6772825813159,52.8,67.5490279763092,"WLD","Aggregates","","","","Aggregates","Aggregates"
"47","4E","East Asia & Pacific (excluding high income)",2009,14.6370374867831,20.0983541881724,72.7807241431027,"EAP","Aggregates","","","","Aggregates","Aggregates"
