"","iso2c","country","internet_users","year","iso3c","region","capital","longitude","latitude","income","lending"
"1","1A","Arab World",NA,2020,"ARB","Aggregates","","","","Aggregates","Aggregates"
"2","1A","Arab World",NA,2019,"ARB","Aggregates","","","","Aggregates","Aggregates"
"3","1A","Arab World",0.135488159182127,1997,"ARB","Aggregates","","","","Aggregates","Aggregates"
"4","1A","Arab World",26.7538745888753,2011,"ARB","Aggregates","","","","Aggregates","Aggregates"
"5","1A","Arab World",24.9477618371479,2010,"ARB","Aggregates","","","","Aggregates","Aggregates"
"6","1A","Arab World",21.5686671530085,2009,"ARB","Aggregates","","","","Aggregates","Aggregates"
"7","1A","Arab World",63.1667284913872,2018,"ARB","Aggregates","","","","Aggregates","Aggregates"
"8","1A","Arab World",0.0384612619716022,1996,"ARB","Aggregates","","","","Aggregates","Aggregates"
"9","1A","Arab World",0.0141128548752629,1995,"ARB","Aggregates","","","","Aggregates","Aggregates"
"10","1A","Arab World",0.00281560530193038,1994,"ARB","Aggregates","","","","Aggregates","Aggregates"
"11","1A","Arab World",33.1127975750516,2013,"ARB","Aggregates","","","","Aggregates","Aggregates"
"12","1A","Arab World",30.3700753134907,2012,"ARB","Aggregates","","","","Aggregates","Aggregates"
"13","1A","Arab World",1.16588724320977,2000,"ARB","Aggregates","","","","Aggregates","Aggregates"
"14","1A","Arab World",0.615844605643569,1999,"ARB","Aggregates","","","","Aggregates","Aggregates"
"15","1A","Arab World",0.270604169151639,1998,"ARB","Aggregates","","","","Aggregates","Aggregates"
"16","1A","Arab World",NA,1984,"ARB","Aggregates","","","","Aggregates","Aggregates"
"17","1A","Arab World",NA,1983,"ARB","Aggregates","","","","Aggregates","Aggregates"
"18","1A","Arab World",NA,1982,"ARB","Aggregates","","","","Aggregates","Aggregates"
"19","1A","Arab World",NA,1981,"ARB","Aggregates","","","","Aggregates","Aggregates"
"20","1A","Arab World",NA,1980,"ARB","Aggregates","","","","Aggregates","Aggregates"
"21","1A","Arab World",NA,1979,"ARB","Aggregates","","","","Aggregates","Aggregates"
"22","1A","Arab World",49.9674380621178,2017,"ARB","Aggregates","","","","Aggregates","Aggregates"
"23","1A","Arab World",41.487476705116,2016,"ARB","Aggregates","","","","Aggregates","Aggregates"
"24","1A","Arab World",43.6963346506088,2015,"ARB","Aggregates","","","","Aggregates","Aggregates"
