"","location","iso_code","people_vaccinated","date","daily_vaccinations_per_million"
"1","Afghanistan","AFG",0,2021-02-22,NA
"2","Afghanistan","AFG",NA,2021-02-23,35
"3","Afghanistan","AFG",NA,2021-02-24,35
"4","Afghanistan","AFG",NA,2021-02-25,35
"5","Afghanistan","AFG",NA,2021-02-26,35
"6","Afghanistan","AFG",NA,2021-02-27,35
"7","Afghanistan","AFG",8200,2021-02-28,35
"8","Afghanistan","AFG",NA,2021-03-01,41
"9","Afghanistan","AFG",NA,2021-03-02,46
"10","Afghanistan","AFG",NA,2021-03-03,52
"11","Afghanistan","AFG",NA,2021-03-04,57
"12","Afghanistan","AFG",NA,2021-03-05,63
"13","Afghanistan","AFG",NA,2021-03-06,68
"14","Afghanistan","AFG",NA,2021-03-07,74
"15","Afghanistan","AFG",NA,2021-03-08,74
"16","Afghanistan","AFG",NA,2021-03-09,74
"17","Afghanistan","AFG",NA,2021-03-10,74
"18","Afghanistan","AFG",NA,2021-03-11,74
"19","Afghanistan","AFG",NA,2021-03-12,74
"20","Afghanistan","AFG",NA,2021-03-13,74
"21","Afghanistan","AFG",NA,2021-03-14,74
"22","Afghanistan","AFG",NA,2021-03-15,74
"23","Afghanistan","AFG",54000,2021-03-16,74
"24","Afghanistan","AFG",NA,2021-03-17,74
"25","Afghanistan","AFG",NA,2021-03-18,75
"26","Afghanistan","AFG",NA,2021-03-19,75
"27","Afghanistan","AFG",NA,2021-03-20,76
"28","Afghanistan","AFG",NA,2021-03-21,76
"29","Afghanistan","AFG",NA,2021-03-22,77
"30","Afghanistan","AFG",NA,2021-03-23,77
"31","Afghanistan","AFG",NA,2021-03-24,77
"32","Afghanistan","AFG",NA,2021-03-25,77
"33","Afghanistan","AFG",NA,2021-03-26,77
"34","Afghanistan","AFG",NA,2021-03-27,77
"35","Afghanistan","AFG",NA,2021-03-28,77
"36","Afghanistan","AFG",NA,2021-03-29,77
"37","Afghanistan","AFG",NA,2021-03-30,77
"38","Afghanistan","AFG",NA,2021-03-31,77
"39","Afghanistan","AFG",NA,2021-04-01,77
"40","Afghanistan","AFG",NA,2021-04-02,77
"41","Afghanistan","AFG",NA,2021-04-03,77
"42","Afghanistan","AFG",NA,2021-04-04,77
"43","Afghanistan","AFG",NA,2021-04-05,77
"44","Afghanistan","AFG",NA,2021-04-06,77
"45","Afghanistan","AFG",120000,2021-04-07,77
"46","Afghanistan","AFG",NA,2021-04-08,95
"47","Afghanistan","AFG",NA,2021-04-09,114
"48","Afghanistan","AFG",NA,2021-04-10,132
"49","Afghanistan","AFG",NA,2021-04-11,150
"50","Afghanistan","AFG",NA,2021-04-12,169
"51","Afghanistan","AFG",NA,2021-04-13,187
"52","Afghanistan","AFG",NA,2021-04-14,206
"53","Afghanistan","AFG",NA,2021-04-15,206
"54","Afghanistan","AFG",NA,2021-04-16,206
"55","Afghanistan","AFG",NA,2021-04-17,206
